ディレクトリID,U1,U2,U3,U4,U5,genre
553628,CD・DVD,Blu-ray,ミュージック,洋楽,テクノ・リミックス・ハウス,CD・DVD > Blu-ray > ミュージック > 洋楽 > テクノ・リミックス・ハウス
553634,CD・DVD,Blu-ray,ミュージック,洋楽,トランス・ユーロビート,CD・DVD > Blu-ray > ミュージック > 洋楽 > トランス・ユーロビート
553629,CD・DVD,Blu-ray,ミュージック,洋楽,パンク・ハードコア,CD・DVD > Blu-ray > ミュージック > 洋楽 > パンク・ハードコア
553635,CD・DVD,Blu-ray,ミュージック,洋楽,フォーク・カントリー,CD・DVD > Blu-ray > ミュージック > 洋楽 > フォーク・カントリー
553623,CD・DVD,Blu-ray,ミュージック,洋楽,ヘビーメタル・ハードロック,CD・DVD > Blu-ray > ミュージック > 洋楽 > ヘビーメタル・ハードロック
553627,CD・DVD,Blu-ray,ミュージック,洋楽,ラップ・ヒップホップ,CD・DVD > Blu-ray > ミュージック > 洋楽 > ラップ・ヒップホップ
553622,CD・DVD,Blu-ray,ミュージック,洋楽,ロック・ポップス,CD・DVD > Blu-ray > ミュージック > 洋楽 > ロック・ポップス
505043,CD・DVD,Blu-ray,趣味・実用・教養,その他,,CD・DVD > Blu-ray > 趣味・実用・教養 > その他
553641,CD・DVD,Blu-ray,趣味・実用・教養,鉄道,,CD・DVD > Blu-ray > 趣味・実用・教養 > 鉄道
553648,CD・DVD,Blu-ray,趣味・実用・教養,動物・ペット,,CD・DVD > Blu-ray > 趣味・実用・教養 > 動物・ペット
553642,CD・DVD,Blu-ray,趣味・実用・教養,飛行機,,CD・DVD > Blu-ray > 趣味・実用・教養 > 飛行機
553645,CD・DVD,Blu-ray,趣味・実用・教養,美術・工芸,,CD・DVD > Blu-ray > 趣味・実用・教養 > 美術・工芸
553646,CD・DVD,Blu-ray,趣味・実用・教養,旅行,,CD・DVD > Blu-ray > 趣味・実用・教養 > 旅行
553644,CD・DVD,Blu-ray,趣味・実用・教養,歴史・地理,,CD・DVD > Blu-ray > 趣味・実用・教養 > 歴史・地理
568235,CD・DVD,Blu-ray,舞台,オペラ,,CD・DVD > Blu-ray > 舞台 > オペラ
505046,CD・DVD,Blu-ray,舞台,その他,,CD・DVD > Blu-ray > 舞台 > その他
568236,CD・DVD,Blu-ray,舞台,バレエ,,CD・DVD > Blu-ray > 舞台 > バレエ
553672,CD・DVD,Blu-ray,舞台,ミュージカル,,CD・DVD > Blu-ray > 舞台 > ミュージカル
553673,CD・DVD,Blu-ray,舞台,演劇,,CD・DVD > Blu-ray > 舞台 > 演劇
568237,CD・DVD,Blu-ray,舞台,歌舞伎・能・狂言,,CD・DVD > Blu-ray > 舞台 > 歌舞伎・能・狂言
564009,CD・DVD,Blu-ray,邦画,SF,,CD・DVD > Blu-ray > 邦画 > SF
553512,CD・DVD,Blu-ray,邦画,アクション,,CD・DVD > Blu-ray > 邦画 > アクション
553513,CD・DVD,Blu-ray,邦画,コメディー,,CD・DVD > Blu-ray > 邦画 > コメディー
553514,CD・DVD,Blu-ray,邦画,サスペンス・ミステリー,,CD・DVD > Blu-ray > 邦画 > サスペンス・ミステリー
505037,CD・DVD,Blu-ray,邦画,その他,,CD・DVD > Blu-ray > 邦画 > その他
553517,CD・DVD,Blu-ray,邦画,ドキュメンタリー,,CD・DVD > Blu-ray > 邦画 > ドキュメンタリー
553518,CD・DVD,Blu-ray,邦画,ヒューマン,,CD・DVD > Blu-ray > 邦画 > ヒューマン
553520,CD・DVD,Blu-ray,邦画,ホラー,,CD・DVD > Blu-ray > 邦画 > ホラー
553521,CD・DVD,Blu-ray,邦画,ロマンス・ラブストーリー,,CD・DVD > Blu-ray > 邦画 > ロマンス・ラブストーリー
553515,CD・DVD,Blu-ray,邦画,時代劇,,CD・DVD > Blu-ray > 邦画 > 時代劇
553516,CD・DVD,Blu-ray,邦画,戦争,,CD・DVD > Blu-ray > 邦画 > 戦争
564005,CD・DVD,Blu-ray,洋画,SF,,CD・DVD > Blu-ray > 洋画 > SF
553487,CD・DVD,Blu-ray,洋画,アクション,,CD・DVD > Blu-ray > 洋画 > アクション
553488,CD・DVD,Blu-ray,洋画,コメディー,,CD・DVD > Blu-ray > 洋画 > コメディー
553489,CD・DVD,Blu-ray,洋画,サスペンス・ミステリー,,CD・DVD > Blu-ray > 洋画 > サスペンス・ミステリー
505035,CD・DVD,Blu-ray,洋画,その他,,CD・DVD > Blu-ray > 洋画 > その他
553492,CD・DVD,Blu-ray,洋画,ドキュメンタリー,,CD・DVD > Blu-ray > 洋画 > ドキュメンタリー
553493,CD・DVD,Blu-ray,洋画,ヒューマン,,CD・DVD > Blu-ray > 洋画 > ヒューマン
553495,CD・DVD,Blu-ray,洋画,ホラー,,CD・DVD > Blu-ray > 洋画 > ホラー
553496,CD・DVD,Blu-ray,洋画,ロマンス・ラブストーリー,,CD・DVD > Blu-ray > 洋画 > ロマンス・ラブストーリー
553490,CD・DVD,Blu-ray,洋画,西部劇,,CD・DVD > Blu-ray > 洋画 > 西部劇
553491,CD・DVD,Blu-ray,洋画,戦争,,CD・DVD > Blu-ray > 洋画 > 戦争
508090,CD・DVD,CD,アニメ,,,CD・DVD > CD > アニメ
500130,CD・DVD,CD,イージーリスニング・ヒーリング,その他,,CD・DVD > CD > イージーリスニング・ヒーリング > その他
205897,CD・DVD,CD,イージーリスニング・ヒーリング,ニューエイジ・ヒーリング,,CD・DVD > CD > イージーリスニング・ヒーリング > ニューエイジ・ヒーリング
500128,CD・DVD,CD,イージーリスニング・ヒーリング,マタニティー,,CD・DVD > CD > イージーリスニング・ヒーリング > マタニティー
200535,CD・DVD,CD,インストゥルメンタル,,,CD・DVD > CD > インストゥルメンタル
500129,CD・DVD,CD,カラオケ,,,CD・DVD > CD > カラオケ
508093,CD・DVD,CD,キッズ・ファミリー,キッズ,,CD・DVD > CD > キッズ・ファミリー > キッズ
508096,CD・DVD,CD,キッズ・ファミリー,その他,,CD・DVD > CD > キッズ・ファミリー > その他
205890,CD・DVD,CD,キッズ・ファミリー,童謡・民謡,その他,CD・DVD > CD > キッズ・ファミリー > 童謡・民謡 > その他
505065,CD・DVD,CD,キッズ・ファミリー,童謡・民謡,わらべ歌・民謡,CD・DVD > CD > キッズ・ファミリー > 童謡・民謡 > わらべ歌・民謡
505063,CD・DVD,CD,キッズ・ファミリー,童謡・民謡,子守り歌,CD・DVD > CD > キッズ・ファミリー > 童謡・民謡 > 子守り歌
505064,CD・DVD,CD,キッズ・ファミリー,童謡・民謡,童謡・唱歌,CD・DVD > CD > キッズ・ファミリー > 童謡・民謡 > 童謡・唱歌
505066,CD・DVD,CD,クラシック,オペラ・バレエ,,CD・DVD > CD > クラシック > オペラ・バレエ
406214,CD・DVD,CD,クラシック,オムニバス,,CD・DVD > CD > クラシック > オムニバス
101312,CD・DVD,CD,クラシック,その他,,CD・DVD > CD > クラシック > その他
500098,CD・DVD,CD,クラシック,管弦楽,,CD・DVD > CD > クラシック > 管弦楽
500062,CD・DVD,CD,クラシック,器楽曲,,CD・DVD > CD > クラシック > 器楽曲
500110,CD・DVD,CD,クラシック,協奏曲,,CD・DVD > CD > クラシック > 協奏曲
500125,CD・DVD,CD,クラシック,現代音楽,,CD・DVD > CD > クラシック > 現代音楽
500122,CD・DVD,CD,クラシック,古楽・バロック・宗教音楽,,CD・DVD > CD > クラシック > 古楽・バロック・宗教音楽
500086,CD・DVD,CD,クラシック,交響曲,,CD・DVD > CD > クラシック > 交響曲
500074,CD・DVD,CD,クラシック,室内楽,,CD・DVD > CD > クラシック > 室内楽
500124,CD・DVD,CD,クラシック,吹奏楽,,CD・DVD > CD > クラシック > 吹奏楽
500123,CD・DVD,CD,クラシック,声楽・歌曲・合唱,,CD・DVD > CD > クラシック > 声楽・歌曲・合唱
406229,CD・DVD,CD,ゲームミュージック,,,CD・DVD > CD > ゲームミュージック
503295,CD・DVD,CD,サウンドトラック,TVアニメ,,CD・DVD > CD > サウンドトラック > TVアニメ
500131,CD・DVD,CD,サウンドトラック,TVドラマ,,CD・DVD > CD > サウンドトラック > TVドラマ
300328,CD・DVD,CD,サウンドトラック,その他,,CD・DVD > CD > サウンドトラック > その他
